Disease,symptoms_text,symptoms_count
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches skin itch patch,4
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches skin patch,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches skin itch patch,3
Fungal infection,itching skin_rash dischromic_patches skin itch patch,3
Fungal infection,itching skin_rash nodal_skin_eruptions skin itch,3
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches skin patch,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches skin itch patch,3
Fungal infection,itching skin_rash dischromic_patches skin itch patch,3
Fungal infection,itching skin_rash nodal_skin_eruptions skin itch,3
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches skin itch patch,4
Allergy,continuous_sneezing shivering chills watering_from_eyes continuous eye,4
Allergy,shivering chills watering_from_eyes eye,3
Allergy,continuous_sneezing chills watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering chills continuous,3
Allergy,shivering chills watering_from_eyes eye,3
Allergy,continuous_sneezing chills watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering chills continuous,3
Allergy,continuous_sneezing shivering chills watering_from_eyes continuous eye,4
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain pain stomach,6
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain pain stomach,5
GERD,stomach_pain acidity vomiting cough chest_pain pain stomach,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain pain stomach,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting chest_pain pain stomach,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough pain stomach,5
GERD,acidity ulcers_on_tongue vomiting cough chest_pain pain,5
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain pain stomach,5
GERD,stomach_pain acidity vomiting cough chest_pain pain stomach,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain pain stomach,5
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes skin itch pain yellow eye appetite loss,7
Chronic cholestasis,vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes skin pain yellow eye appetite loss,6
Chronic cholestasis,itching yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes skin itch pain yellow eye appetite loss,6
Chronic cholestasis,itching vomiting nausea loss_of_appetite abdominal_pain yellowing_of_eyes itch pain yellow eye appetite loss,6
Chronic cholestasis,itching vomiting yellowish_skin loss_of_appetite abdominal_pain yellowing_of_eyes skin itch pain yellow eye appetite loss,6
Chronic cholestasis,itching vomiting yellowish_skin nausea abdominal_pain yellowing_of_eyes skin itch pain yellow eye,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite yellowing_of_eyes skin itch yellow eye appetite loss,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain skin itch pain yellow appetite loss,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes skin itch pain yellow eye appetite loss,7
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes skin itch pain yellow eye appetite loss,7
Drug Reaction,itching skin_rash stomach_pain burning_micturition spotting_urination skin spot itch pain stomach,5
Drug Reaction,itching stomach_pain burning_micturition spotting_urination spot itch pain stomach,4
Drug Reaction,itching skin_rash burning_micturition spotting_urination skin spot itch,4
