Disease,symptoms_text,symptoms_count
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches patch itch skin,4
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches patch skin,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches patch itch skin,3
Fungal infection,itching skin_rash dischromic_patches patch itch skin,3
Fungal infection,itching skin_rash nodal_skin_eruptions itch skin,3
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches patch skin,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches patch itch skin,3
Fungal infection,itching skin_rash dischromic_patches patch itch skin,3
Fungal infection,itching skin_rash nodal_skin_eruptions itch skin,3
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches patch itch skin,4
Allergy,continuous_sneezing shivering chills watering_from_eyes continuous eye,4
Allergy,shivering chills watering_from_eyes eye,3
Allergy,continuous_sneezing chills watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering chills continuous,3
Allergy,shivering chills watering_from_eyes eye,3
Allergy,continuous_sneezing chills watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering watering_from_eyes continuous eye,3
Allergy,continuous_sneezing shivering chills continuous,3
Allergy,continuous_sneezing shivering chills watering_from_eyes continuous eye,4
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain stomach pain,6
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain stomach pain,5
GERD,stomach_pain acidity vomiting cough chest_pain stomach pain,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain stomach pain,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting chest_pain stomach pain,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough stomach pain,5
GERD,acidity ulcers_on_tongue vomiting cough chest_pain pain,5
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain stomach pain,5
GERD,stomach_pain acidity vomiting cough chest_pain stomach pain,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain stomach pain,5
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes yellow itch appetite loss eye skin pain,7
Chronic cholestasis,vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes yellow appetite loss eye skin pain,6
