Disease,symptoms_text,symptoms_count
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches,4
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches,3
Fungal infection,itching skin_rash dischromic_patches,3
Fungal infection,itching skin_rash nodal_skin_eruptions,3
Fungal infection,skin_rash nodal_skin_eruptions dischromic_patches,3
Fungal infection,itching nodal_skin_eruptions dischromic_patches,3
Fungal infection,itching skin_rash dischromic_patches,3
Fungal infection,itching skin_rash nodal_skin_eruptions,3
Fungal infection,itching skin_rash nodal_skin_eruptions dischromic_patches,4
Allergy,continuous_sneezing shivering chills watering_from_eyes,4
Allergy,shivering chills watering_from_eyes,3
Allergy,continuous_sneezing chills watering_from_eyes,3
Allergy,continuous_sneezing shivering watering_from_eyes,3
Allergy,continuous_sneezing shivering chills,3
Allergy,shivering chills watering_from_eyes,3
Allergy,continuous_sneezing chills watering_from_eyes,3
Allergy,continuous_sneezing shivering watering_from_eyes,3
Allergy,continuous_sneezing shivering chills,3
Allergy,continuous_sneezing shivering chills watering_from_eyes,4
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough chest_pain,6
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain,5
GERD,stomach_pain acidity vomiting cough chest_pain,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting chest_pain,5
GERD,stomach_pain acidity ulcers_on_tongue vomiting cough,5
GERD,acidity ulcers_on_tongue vomiting cough chest_pain,5
GERD,stomach_pain ulcers_on_tongue vomiting cough chest_pain,5
GERD,stomach_pain acidity vomiting cough chest_pain,5
GERD,stomach_pain acidity ulcers_on_tongue cough chest_pain,5
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,7
Chronic cholestasis,vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,6
Chronic cholestasis,itching yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,6
Chronic cholestasis,itching vomiting nausea loss_of_appetite abdominal_pain yellowing_of_eyes,6
Chronic cholestasis,itching vomiting yellowish_skin loss_of_appetite abdominal_pain yellowing_of_eyes,6
Chronic cholestasis,itching vomiting yellowish_skin nausea abdominal_pain yellowing_of_eyes,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite yellowing_of_eyes,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain,6
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,7
Chronic cholestasis,itching vomiting yellowish_skin nausea loss_of_appetite abdominal_pain yellowing_of_eyes,7
Drug Reaction,itching skin_rash stomach_pain burning_micturition spotting_urination,5
Drug Reaction,itching stomach_pain burning_micturition spotting_urination,4
Drug Reaction,itching skin_rash burning_micturition spotting_urination,4
Drug Reaction,itching skin_rash stomach_pain spotting_urination,4
Drug Reaction,itching skin_rash stomach_pain burning_micturition,4
Drug Reaction,skin_rash stomach_pain burning_micturition spotting_urination,4
Drug Reaction,itching stomach_pain burning_micturition spotting_urination,4
Drug Reaction,itching skin_rash burning_micturition spotting_urination,4
Drug Reaction,itching skin_rash stomach_pain spotting_urination,4
Drug Reaction,itching skin_rash stomach_pain burning_micturition,4
Peptic ulcer diseae,vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,5
Peptic ulcer diseae,vomiting indigestion abdominal_pain passage_of_gases internal_itching,5
Peptic ulcer diseae,indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,5
Peptic ulcer diseae,vomiting loss_of_appetite abdominal_pain passage_of_gases internal_itching,5
Peptic ulcer diseae,vomiting indigestion abdominal_pain passage_of_gases internal_itching,5
Peptic ulcer diseae,vomiting indigestion loss_of_appetite passage_of_gases internal_itching,5
Peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain internal_itching,5
Peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases,5
Peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,6
Peptic ulcer diseae,vomiting indigestion loss_of_appetite abdominal_pain passage_of_gases internal_itching,6
AIDS,muscle_wasting patches_in_throat high_fever extra_marital_contacts,4
AIDS,patches_in_throat high_fever extra_marital_contacts,3
AIDS,muscle_wasting high_fever extra_marital_contacts,3
AIDS,muscle_wasting patches_in_throat extra_marital_contacts,3
AIDS,muscle_wasting patches_in_throat high_fever,3
AIDS,muscle_wasting patches_in_throat high_fever extra_marital_contacts,4
AIDS,muscle_wasting patches_in_throat high_fever extra_marital_contacts,4
AIDS,patches_in_throat high_fever extra_marital_contacts,3
AIDS,muscle_wasting high_fever extra_marital_contacts,3
AIDS,muscle_wasting patches_in_throat high_fever,3
Diabetes ,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,10
Diabetes ,fatigue weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,10
Diabetes ,weight_loss restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,9
Diabetes ,fatigue restlessness lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,9
Diabetes ,fatigue weight_loss lethargy irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,9
Diabetes ,fatigue weight_loss restlessness irregular_sugar_level blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,9
Diabetes ,fatigue weight_loss restlessness lethargy blurred_and_distorted_vision obesity excessive_hunger increased_appetite polyuria,9
Diabetes ,fatigue weight_loss restlessness lethargy irregular_sugar_level obesity excessive_hunger increased_appetite polyuria,9
