Disease,Symptoms
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin_rash, skin, itch, patch"
Fungal infection,"dischromic_patches, nodal_skin_eruptions, skin_rash, skin, patch"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin, itch, patch"
Fungal infection,"dischromic_patches, itching, skin_rash, skin, itch, patch"
Fungal infection,"itching, nodal_skin_eruptions, skin_rash, skin, itch"
Fungal infection,"dischromic_patches, nodal_skin_eruptions, skin_rash, skin, patch"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin, itch, patch"
Fungal infection,"dischromic_patches, itching, skin_rash, skin, itch, patch"
Fungal infection,"itching, nodal_skin_eruptions, skin_rash, skin, itch"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin_rash, skin, itch, patch"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, shivering, watering_from_eyes, eye"
Allergy,"chills, continuous_sneezing, watering_from_eyes, continuous, eye"
Allergy,"continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, continuous_sneezing, shivering, continuous"
Allergy,"chills, shivering, watering_from_eyes, eye"
Allergy,"chills, continuous_sneezing, watering_from_eyes, continuous, eye"
Allergy,"continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, continuous_sneezing, shivering, continuous"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, pain, stomach"
GERD,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, pain, stomach"
GERD,"acidity, chest_pain, cough, stomach_pain, vomiting, pain, stomach"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, pain, stomach"
GERD,"acidity, chest_pain, stomach_pain, ulcers_on_tongue, vomiting, pain, stomach"
GERD,"acidity, cough, stomach_pain, ulcers_on_tongue, vomiting, pain, stomach"
GERD,"acidity, chest_pain, cough, ulcers_on_tongue, vomiting, pain"
GERD,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, pain, stomach"
GERD,"acidity, chest_pain, cough, stomach_pain, vomiting, pain, stomach"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, pain, stomach"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, itch, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye"
Chronic cholestasis,"itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowish_skin, skin, itch, pain, yellow, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye, appetite, loss"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, itch, pain, yellow, eye, appetite, loss"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, stomach_pain, skin, spot, itch, pain, stomach"
Drug Reaction,"burning_micturition, itching, spotting_urination, stomach_pain, spot, itch, pain, stomach"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, skin, spot, itch"
Drug Reaction,"itching, skin_rash, spotting_urination, stomach_pain, skin, spot, itch, pain, stomach"
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain, skin, itch, pain, stomach"
Drug Reaction,"burning_micturition, skin_rash, spotting_urination, stomach_pain, skin, spot, pain, stomach"
Drug Reaction,"burning_micturition, itching, spotting_urination, stomach_pain, spot, itch, pain, stomach"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, skin, spot, itch"
Drug Reaction,"itching, skin_rash, spotting_urination, stomach_pain, skin, spot, itch, pain, stomach"
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain, skin, itch, pain, stomach"
Peptic ulcer diseae,"abdominal_pain, loss_of_appetite, vomiting, itch, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, vomiting, itch, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, itch, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, loss_of_appetite, vomiting, itch, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, vomiting, itch, pain, sym12"
Peptic ulcer diseae,"indigestion, loss_of_appetite, vomiting, itch, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, pain, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, pain, appetite, loss, sym12"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, throat, fever, patch, muscle"
AIDS,"extra_marital_contacts, high_fever, patches_in_throat, throat, fever, patch"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, fever, muscle"
AIDS,"extra_marital_contacts, muscle_wasting, patches_in_throat, throat, patch, muscle"
AIDS,"high_fever, muscle_wasting, patches_in_throat, throat, fever, patch, muscle"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, throat, fever, patch, muscle"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, throat, fever, patch, muscle"
AIDS,"extra_marital_contacts, high_fever, patches_in_throat, throat, fever, patch"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, fever, muscle"
AIDS,"high_fever, muscle_wasting, patches_in_throat, throat, fever, patch, muscle"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, appetite, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
