,abdominal_pain,abnormal_menstruation,acidity,acute_liver_failure,altered_sensorium,anxiety,back_pain,belly_pain,blackheads,bladder_discomfort,blister,blood_in_sputum,bloody_stool,blurred_and_distorted_vision,breathlessness,brittle_nails,bruising,burning_micturition,chest_pain,chills,cold_hands_and_feets,coma,congestion,constipation,continuous_feel_of_urine,continuous_sneezing,cough,cramps,dark_urine,dehydration,depression,diarrhoea,dischromic_patches,distention_of_abdomen,dizziness,drying_and_tingling_lips,enlarged_thyroid,excessive_hunger,extra_marital_contacts,family_history,fast_heart_rate,fatigue,fluid_overload,foul_smell_ofurine,headache,high_fever,hip_joint_pain,history_of_alcohol_consumption,increased_appetite,indigestion,inflammatory_nails,internal_itching,irregular_sugar_level,irritability,irritation_in_anus,itching,joint_pain,knee_pain,lack_of_concentration,lethargy,loss_of_appetite,loss_of_balance,loss_of_smell,malaise,mild_fever,mood_swings,movement_stiffness,mucoid_sputum,muscle_pain,muscle_wasting,muscle_weakness,nausea,neck_pain,nodal_skin_eruptions,obesity,pain_behind_the_eyes,pain_during_bowel_movements,pain_in_anal_region,painful_walking,palpitations,passage_of_gases,patches_in_throat,phlegm,polyuria,prominent_veins_on_calf,puffy_face_and_eyes,pus_filled_pimples,receiving_blood_transfusion,receiving_unsterile_injections,red_sore_around_nose,red_spots_over_body,redness_of_eyes,restlessness,runny_nose,rusty_sputum,scurring,shivering,silver_like_dusting,sinus_pressure,skin_peeling,skin_rash,slurred_speech,small_dents_in_nails,spinning_movements,spotting_urination,stiff_neck,stomach_bleeding,stomach_pain,sunken_eyes,sweating,swelled_lymph_nodes,swelling_joints,swelling_of_stomach,swollen_blood_vessels,swollen_extremeties,swollen_legs,throat_irritation,toxic_look_(typhos),ulcers_on_tongue,unsteadiness,visual_disturbances,vomiting,watering_from_eyes,weakness_in_limbs,weakness_of_one_body_side,weight_gain,weight_loss,yellow_crust_ooze,yellow_urine,yellowing_of_eyes,yellowish_skin
abdominal_pain,1.0,-0.11667005828742608,-0.11199450163433525,0.2989398566412399,-0.07934823355292182,-0.0793482335529221,-0.11357039657574235,0.27902995715733714,-0.07718373468530972,-0.07934823355292216,-0.07934823355292227,-0.08146043499230654,-0.07934823355292221,-0.14081595970639668,-0.16346667007285517,-0.08146043499230657,-0.0793482335529222,-0.11040022018447244,-0.2091314677883364,-0.07229843723551992,-0.07934823355292209,0.306897452761712,-0.08146043499230653,0.1429013068296971,-0.07934823355292216,-0.11199450163433512,-0.18538403771077072,-0.07934823355292216,0.6651766732831935,-0.07718373468530985,-0.11512867516896502,0.15309547696154155,-0.07718373468530967,0.2790299571573372,-0.1394838912937635,-0.0793482335529221,-0.08146043499230657,-0.16585465918793102,-0.07718373468530983,-0.11357039657574232,-0.11512867516896483,0.15002028540002676,0.27902995715733725,-0.07496238723945525,-0.15394022321184866,0.05613631058520576,-0.0793482335529221,0.27902995715733725,-0.08146043499230639,0.13332343563509125,-0.07934823355292225,0.2790299571573376,-0.07934823355292199,-0.1682213686878805,-0.07934823355292221,0.2632818164115612,0.26915187352807735,-0.07934823355292211,-0.0793482335529219,0.02126314261080037,0.48613624023856716,-0.14081595970639676,-0.08146043499230653,-0.047458718050974805,0.07678735366344086,-0.11357039657574247,-0.07934823355292213,-0.0793482335529219,0.024661242745529773,-0.07718373468530985,-0.11512867516896509,0.3609524113457028,-0.11357039657574247,-0.07718373468530969,-0.11357039657574242,-0.08146043499230646,-0.07934823355292221,-0.07934823355292221,-0.11357039657574243,-0.08146043499230665,0.2790299571573376,-0.07718373468530984,-0.14345325202072795,-0.08146043499230639,-0.0793482335529222,-0.0793482335529221,-0.07718373468530972,0.2874795583740119,0.2874795583740119,-0.07934823355292228,-0.11512867516896491,-0.08146043499230653,-0.11357039657574239,-0.08146043499230653,-0.08146043499230657,-0.07718373468530972,-0.07718373468530973,-0.07934823355292227,-0.08146043499230653,-0.07934823355292225,-0.22464810391489354,-0.08146043499230665,-0.07934823355292227,-0.07718373468530974,-0.0771837346853098,-0.11357039657574249,0.306897452761712,-0.11199450163433522,-0.07718373468530985,-0.20597107485811922,-0.14213899212349523,-0.11357039657574243,0.2790299571573372,-0.0771837346853098,-0.08146043499230657,-0.07934823355292218,-0.08146043499230653,0.27902995715733714,-0.07718373468530972,-0.07934823355292211,-0.07934823355292185,0.47976784365441827,-0.07718373468530972,-0.0771837346853098,-0.07718373468530977,-0.07934823355292209,0.021263142610800336,-0.07934823355292227,0.279029957157337,0.527263847453597,0.733179948388994
abnormal_menstruation,-0.11667005828742608,1.0,-0.04922692128918515,-0.03487733049876829,-0.034877330498768254,-0.034877330498768365,-0.04991960222537908,-0.03487733049876824,-0.03392593008328751,-0.03487733049876831,-0.0348773304987683,-0.03580574370197153,-0.034877330498768344,-0.061895325784481765,-0.07185139255635214,0.6982120021884461,-0.03487733049876838,-0.04852615860619679,-0.09192324760300528,-0.09963918034510298,0.6801079447259832,-0.03580574370197153,-0.03580574370197155,-0.049919602225379084,-0.03487733049876831,-0.049226921289185106,-0.08148512024684619,-0.03487733049876837,-0.08197388037993945,-0.03392593008328751,0.48139190555383016,0.2561580109887554,-0.03392593008328746,-0.03487733049876834,0.36512186391622237,-0.034877330498768365,0.6982120021884461,0.2958645600140573,-0.03392593008328745,-0.0499196022253791,0.45479208327929355,0.2468450002242342,-0.03487733049876832,-0.03294954200818316,-0.12393641135965468,-0.1401097235710871,-0.034877330498768344,-0.03487733049876833,-0.03580574370197156,-0.04922692128918516,-0.03487733049876833,-0.03487733049876824,-0.03487733049876824,0.6935507611039341,-0.034877330498768344,-0.09053410428124974,-0.0909981932248635,-0.034877330498768344,-0.03487733049876821,0.29855680573904403,-0.12521417222901146,-0.06189532578448175,-0.03580574370197155,-0.09238425536915776,-0.06305454145381928,0.9734322433948948,-0.03487733049876832,-0.03487733049876824,-0.07394130921350965,-0.03392593008328745,0.48139190555383116,-0.1247883537001432,-0.04991960222537913,-0.03392593008328746,-0.04991960222537912,-0.03580574370197156,-0.034877330498768344,-0.034877330498768344,-0.04991960222537917,-0.03580574370197156,-0.03487733049876825,-0.03392593008328746,-0.06305454145381938,-0.03580574370197156,-0.03487733049876838,0.6801079447259836,-0.03392593008328751,-0.035805743701971524,-0.035805743701971524,-0.0348773304987683,-0.050604539936925735,-0.03580574370197155,0.46175632058475785,-0.03580574370197155,-0.035805743701971586,-0.03392593008328751,-0.03392593008328742,-0.03487733049876833,-0.03580574370197155,-0.03487733049876833,-0.09874354872608082,-0.03580574370197156,-0.03487733049876833,-0.033925930083287516,-0.03392593008328743,-0.04991960222537912,-0.03580574370197153,-0.049226921289185065,-0.03392593008328751,0.2215281401218182,-0.062476861589446625,-0.04991960222537916,-0.03487733049876834,-0.03392593008328751,0.6982120021884461,-0.03487733049876838,-0.03580574370197155,-0.03487733049876825,-0.03392593008328743,-0.03487733049876834,-0.03487733049876823,-0.1807004245459497,-0.03392593008328742,-0.03392593008328749,-0.03392593008328746,0.6801079447259835,0.2985568057390437,-0.03487733049876831,-0.03487733049876823,-0.10097737988808604,-0.10802300566454388
acidity,-0.11199450163433525,-0.04922692128918515,1.0,-0.033479620263175434,-0.03347962026317546,-0.033479620263175414,-0.047919072425955396,-0.03347962026317542,-0.03256634725251166,-0.03347962026317539,-0.03347962026317543,-0.03437082727489505,-0.033479620263175434,0.35640469450432244,-0.0689719454948531,-0.034370827274895044,-0.033479620263175414,-0.04658147110838859,0.19835366416113898,-0.09564613671926278,-0.03347962026317545,-0.03437082727489505,-0.034370827274895065,-0.047919072425955514,-0.033479620263175386,-0.04725415070242655,0.23528851865531555,-0.033479620263175414,-0.07868877426603088,-0.032566347252511695,0.4482980360112864,-0.07821960121230977,-0.03256634725251162,-0.03347962026317541,-0.05885282512597643,-0.03347962026317541,-0.034370827274895044,0.2925679253876748,-0.0325663472525117,-0.04791907242595545,-0.048576561234833913,-0.17479670651013382,-0.03347962026317541,-0.03162908796355483,0.13213746791557335,-0.1344948215146257,-0.03347962026317541,-0.03347962026317541,-0.03437082727489503,0.462220841531187,-0.033479620263175386,-0.033479620263175476,-0.03347962026317548,0.28743341509283493,-0.033479620263175434,-0.08690594689607886,-0.08735143745909882,-0.03347962026317541,-0.033479620263175476,-0.06947688032511434,-0.12019620991185612,-0.05941486844594235,-0.034370827274895065,-0.08868195311464146,-0.06052762850691996,-0.04791907242595538,-0.03347962026317538,-0.03347962026317549,-0.07097810866911843,-0.03256634725251171,-0.04857656123483394,-0.11978745607537648,-0.04791907242595544,-0.032566347252511625,-0.04791907242595553,-0.034370827274895085,-0.033479620263175434,-0.033479620263175434,-0.047919072425955285,-0.03437082727489501,-0.03347962026317549,-0.03256634725251171,-0.06052762850691974,-0.03437082727489503,-0.03347962026317541,-0.03347962026317544,-0.03256634725251166,-0.03437082727489507,-0.03437082727489507,-0.03347962026317543,-0.04857656123483398,-0.034370827274895065,-0.04791907242595549,-0.034370827274895065,-0.0343708272748951,-0.03256634725251166,-0.03256634725251162,-0.03347962026317538,-0.034370827274895065,-0.033479620263175386,-0.0947863975685949,-0.03437082727489501,-0.033479620263175386,-0.03256634725251166,-0.032566347252511674,0.4551289425150839,-0.03437082727489505,0.4339166752959858,-0.03256634725251171,-0.08690594689607925,-0.05997309918325041,-0.047919072425955285,-0.03347962026317541,-0.03256634725251168,-0.034370827274895044,-0.03347962026317541,-0.034370827274895065,-0.033479620263175414,0.6089809139381074,-0.033479620263175386,0.6694495334842888,0.019354850782107993,-0.03256634725251162,-0.03256634725251176,-0.03256634725251172,-0.03347962026317545,-0.06947688032511425,-0.03347962026317543,-0.03347962026317543,-0.0969307078689096,-0.10369397994675968
acute_liver_failure,0.2989398566412399,-0.03487733049876829,-0.033479620263175434,1.0,-0.02372034956304619,-0.023720349563046198,-0.03395071807104132,-0.023720349563046174,-0.023073294581862077,-0.023720349563046177,-0.02372034956304621,-0.024351770758533228,-0.023720349563046163,-0.042095502807429,-0.048866702917200716,-0.02435177075853319,-0.02372034956304618,-0.03300302599510771,-0.06251773099981776,-0.06776539815868944,-0.02372034956304618,0.9740708303413275,-0.024351770758533214,-0.03395071807104125,-0.023720349563046174,-0.03347962026317542,-0.05541867765683231,-0.023720349563046167,0.40014146041805737,-0.023073294581862115,-0.03441654965030655,-0.05541867765683217,-0.023073294581862108,-0.023720349563046195,-0.0416972944671203,-0.023720349563046198,-0.02435177075853319,-0.049580568040922104,-0.023073294581862126,-0.03395071807104127,-0.034416549650306605,0.17493576004466282,-0.023720349563046195,-0.02240924529484791,-0.08429013800652868,0.2308119344754234,-0.02372034956304619,-0.023720349563046188,-0.02435177075853313,-0.033479620263175414,-0.0237203495630462,-0.023720349563046188,-0.023720349563046212,-0.05028807183954867,-0.023720349563046163,-0.06157296359032858,0.3598453162285474,-0.02372034956304619,-0.023720349563046198,-0.04922444982669968,0.2785413973346342,-0.042095502807429006,-0.024351770758533214,-0.06283126604415842,-0.042883894593796365,-0.03395071807104125,-0.023720349563046198,-0.02372034956304621,-0.05028807183954871,-0.02307329458186213,-0.03441654965030655,0.2603149544000641,-0.033950718071041365,-0.023073294581862115,-0.033950718071041344,-0.0243517707585332,-0.023720349563046163,-0.023720349563046163,-0.03395071807104124,-0.02435177075853319,-0.023720349563046188,-0.023073294581862122,-0.0428838945937964,-0.02435177075853313,-0.02372034956304618,-0.02372034956304618,-0.023073294581862077,-0.0243517707585332,-0.0243517707585332,-0.023720349563046216,-0.034416549650306515,-0.024351770758533214,-0.03395071807104139,-0.024351770758533214,-0.02435177075853322,-0.023073294581862077,-0.023073294581862105,-0.023720349563046198,-0.024351770758533214,-0.0237203495630462,-0.06715627197904483,-0.02435177075853319,-0.0237203495630462,-0.02307329458186209,-0.02307329458186212,-0.03395071807104134,0.9740708303413275,-0.03347962026317546,-0.02307329458186211,-0.06157296359032877,-0.04249100992852837,-0.03395071807104125,-0.02372034956304619,-0.023073294581862084,-0.02435177075853319,-0.023720349563046177,-0.024351770758533214,-0.023720349563046177,-0.02307329458186212,-0.02372034956304617,-0.0237203495630462,0.17638516994595949,-0.023073294581862094,-0.02307329458186212,-0.02307329458186211,-0.02372034956304618,-0.04922444982669965,-0.023720349563046216,-0.023720349563046163,0.3453974596827837,0.30200963899890343
altered_sensorium,-0.07934823355292182,-0.034877330498768254,-0.03347962026317546,-0.02372034956304619,1.0,-0.023720349563046233,-0.03395071807104128,-0.023720349563046188,-0.02307329458186204,-0.02372034956304622,-0.023720349563046233,-0.024351770758533186,-0.023720349563046188,-0.042095502807429006,-0.048866702917200584,-0.024351770758533165,-0.0237203495630462,-0.03300302599510773,-0.06251773099981767,-0.06776539815868948,-0.023720349563046205,-0.024351770758533186,-0.024351770758533182,-0.03395071807104129,-0.02372034956304622,-0.03347962026317544,-0.055418677656832165,-0.0237203495630462,-0.055751087306414135,-0.023073294581862146,-0.03441654965030659,-0.055418677656832255,-0.023073294581862143,-0.023720349563046236,-0.041697294467120255,-0.023720349563046233,-0.024351770758533165,-0.04958056804092216,-0.02307329458186216,-0.03395071807104127,-0.034416549650306605,-0.12384366812696723,-0.023720349563046233,-0.022409245294847866,0.24291802791132358,-0.09528973613405729,-0.023720349563046243,-0.023720349563046236,-0.02435177075853309,-0.03347962026317544,-0.02372034956304624,-0.023720349563046177,-0.02372034956304619,-0.0502880718395487,-0.023720349563046188,-0.06157296359032869,-0.06188859416793959,-0.02372034956304624,-0.02372034956304617,-0.04922444982669962,-0.08515915332523802,-0.042095502807429006,-0.024351770758533182,-0.06283126604415845,-0.04288389459379636,-0.0339507180710413,-0.023720349563046222,-0.023720349563046174,-0.050288071839548656,-0.02307329458186216,-0.03441654965030654,-0.08486955076074362,-0.033950718071041365,-0.02307329458186214,-0.033950718071041316,-0.024351770758533137,-0.023720349563046184,-0.023720349563046184,-0.03395071807104128,-0.024351770758533155,-0.023720349563046177,-0.023073294581862167,-0.04288389459379634,-0.02435177075853309,-0.0237203495630462,-0.0237203495630462,-0.02307329458186204,-0.024351770758533148,-0.024351770758533148,-0.02372034956304623,-0.034416549650306556,-0.024351770758533182,-0.03395071807104137,-0.024351770758533182,-0.024351770758533172,-0.023073294581862042,-0.023073294581862143,-0.023720349563046247,-0.024351770758533182,-0.02372034956304624,-0.0671562719790448,-0.024351770758533155,-0.02372034956304624,-0.02307329458186208,-0.023073294581862153,-0.0339507180710413,-0.024351770758533186,-0.03347962026317546,-0.023073294581862146,-0.06157296359032866,-0.04249100992852834,-0.033950718071041275,-0.023720349563046233,-0.02307329458186208,-0.024351770758533165,-0.0237203495630462,-0.024351770758533182,-0.023720349563046188,-0.02307329458186214,-0.02372034956304621,-0.02372034956304617,0.1597584497073471,-0.023073294581862146,-0.02307329458186216,0.917399589836728,-0.023720349563046205,-0.04922444982669964,-0.02372034956304623,-0.02372034956304618,-0.06867551829950087,-0.07346730436563648
anxiety,-0.0793482335529221,-0.034877330498768365,-0.033479620263175414,-0.023720349563046198,-0.023720349563046233,1.0,-0.03395071807104136,-0.023720349563046205,-0.023073294581862098,-0.02372034956304621,-0.023720349563046233,-0.024351770758533273,-0.023720349563046226,0.5316160590001922,-0.048866702917200674,-0.024351770758533235,-0.02372034956304626,-0.03300302599510767,-0.06251773099981775,-0.06776539815868955,-0.02372034956304625,-0.02435177075853325,-0.024351770758533235,-0.03395071807104126,-0.023720349563046205,-0.03347962026317544,-0.05541867765683231,-0.02372034956304626,-0.05575108730641419,-0.02307329458186213,-0.03441654965030655,-0.05541867765683226,-0.023073294581862115,-0.023720349563046216,-0.04169729446712038,0.9461199816019449,-0.024351770758533235,0.47842028642084583,-0.023073294581862133,-0.03395071807104131,-0.03441654965030661,0.17493576004466316,-0.023720349563046212,-0.02240924529484799,0.26216556708296185,-0.09528973613405739,-0.023720349563046222,-0.023720349563046216,-0.02435177075853317,-0.033479620263175386,-0.023720349563046236,-0.023720349563046233,-0.02372034956304625,0.4716893826975404,-0.023720349563046226,-0.06157296359032861,-0.06188859416793973,-0.023720349563046222,-0.023720349563046233,-0.04922444982669971,-0.08515915332523824,-0.04209550280742904,-0.024351770758533235,-0.06283126604415842,-0.042883894593796434,-0.03395071807104132,-0.02372034956304622,-0.023720349563046236,-0.050288071839548615,-0.023073294581862143,-0.03441654965030647,0.2603149544000642,-0.03395071807104137,-0.02307329458186212,-0.03395071807104138,-0.02435177075853322,-0.023720349563046226,-0.023720349563046226,-0.03395071807104129,0.9740708303413301,-0.02372034956304623,-0.02307329458186213,-0.04288389459379642,-0.02435177075853317,-0.023720349563046257,-0.02372034956304625,-0.023073294581862094,-0.024351770758533224,-0.024351770758533224,-0.023720349563046233,-0.03441654965030665,-0.024351770758533235,-0.03395071807104137,-0.024351770758533235,-0.024351770758533262,-0.02307329458186209,-0.023073294581862108,-0.02372034956304623,-0.024351770758533235,-0.023720349563046243,-0.06715627197904492,0.9740708303413301,-0.023720349563046243,-0.02307329458186211,-0.023073294581862126,-0.03395071807104133,-0.02435177075853325,-0.03347962026317541,-0.023073294581862122,0.36172323696544734,-0.042491009928528466,-0.03395071807104129,-0.023720349563046216,-0.023073294581862094,-0.024351770758533235,-0.023720349563046257,-0.024351770758533235,-0.023720349563046205,-0.02307329458186213,-0.0237203495630462,-0.023720349563046236,0.17638516994595949,-0.02307329458186211,-0.02307329458186213,-0.023073294581862122,-0.023720349563046247,-0.04922444982669968,-0.023720349563046233,-0.023720349563046195,-0.06867551829950083,-0.07346730436563664
back_pain,-0.11357039657574235,-0.04991960222537908,-0.047919072425955396,-0.03395071807104132,-0.03395071807104128,-0.03395071807104136,1.0,-0.03395071807104131,-0.03302459423023291,-0.03395071807104135,-0.03395071807104137,-0.03485446541823281,-0.0339507180710413,-0.060250905834046,-0.06994246224717751,-0.03485446541823277,-0.03395071807104132,-0.047236927435366886,-0.089481053134338,0.20200587568707787,-0.03395071807104135,-0.0348544654182328,-0.0348544654182328,-0.048593350383631786,-0.03395071807104135,-0.047919072425955465,-0.07932024340519027,-0.033950718071041316,-0.07979601827802915,-0.03302459423023302,-0.0492600908367683,-0.07932024340519037,-0.03302459423023302,-0.03395071807104137,0.3312741670460257,-0.03395071807104136,-0.03485446541823277,-0.07096421083025793,-0.03302459423023304,-0.048593350383631675,-0.049260090836768335,0.0484427162562197,-0.03395071807104138,-0.03207414659586004,0.15484455818768586,0.1099510133229747,-0.033950718071041365,-0.03395071807104137,-0.03485446541823271,-0.04791907242595537,-0.03395071807104138,-0.03395071807104127,-0.03395071807104129,-0.07197685450726274,-0.03395071807104131,-0.08812881623424429,0.2299986869405733,-0.03395071807104137,-0.03395071807104126,-0.07045450210699922,0.15209209354544673,0.3275134650461943,-0.0348544654182328,0.2252088478359088,-0.06137932374362778,-0.04859335038363177,-0.03395071807104136,-0.03395071807104127,0.3015739093911891,-0.03302459423023304,-0.04926009083676819,0.1530044407321603,0.42051420110378435,-0.03302459423023301,-0.048593350383631766,0.7172682093962667,-0.0339507180710413,-0.0339507180710413,-0.04859335038363178,-0.03485446541823276,-0.033950718071041254,-0.033024594230233045,-0.06137932374362779,-0.03485446541823271,-0.03395071807104132,-0.03395071807104135,-0.03302459423023291,-0.03485446541823275,-0.03485446541823275,-0.03395071807104137,0.4686024025754103,-0.0348544654182328,-0.048593350383631835,-0.0348544654182328,-0.0348544654182328,-0.03302459423023292,-0.03302459423023301,-0.03395071807104138,-0.0348544654182328,-0.03395071807104138,0.20471391610579598,-0.03485446541823276,-0.03395071807104138,-0.03302459423023296,-0.033024594230233024,-0.048593350383631766,-0.0348544654182328,-0.04791907242595542,-0.03302459423023302,-0.08812881623424443,-0.0608169915372875,-0.04859335038363177,-0.033950718071041365,-0.03302459423023296,-0.03485446541823277,-0.03395071807104132,-0.0348544654182328,-0.03395071807104131,-0.033024594230233004,-0.03395071807104133,-0.033950718071041254,0.050178261404338065,-0.03302459423023301,0.6004296108876865,-0.03302459423023305,-0.03395071807104134,-0.0704545021069992,-0.03395071807104137,-0.03395071807104131,-0.09829463743659787,-0.10515307674229697
belly_pain,0.27902995715733714,-0.03487733049876824,-0.03347962026317542,-0.023720349563046174,-0.023720349563046188,-0.023720349563046205,-0.03395071807104131,1.0,-0.023073294581862042,-0.023720349563046184,-0.023720349563046205,-0.02435177075853319,-0.02372034956304616,-0.042095502807428985,-0.04886670291720066,-0.024351770758533165,-0.023720349563046184,-0.03300302599510767,-0.06251773099981772,0.3500363047745857,-0.023720349563046184,-0.024351770758533176,-0.024351770758533186,0.6601110530211607,-0.02372034956304618,-0.03347962026317545,-0.05541867765683227,-0.02372034956304617,-0.05575108730641427,-0.023073294581862115,-0.03441654965030659,0.40257666512863344,-0.02307329458186212,-0.0237203495630462,-0.04169729446712028,-0.023720349563046205,-0.024351770758533165,-0.049580568040922125,-0.02307329458186213,-0.033950718071041296,-0.03441654965030668,0.19153461716530915,-0.023720349563046198,-0.022409245294847877,0.2621655670829623,0.24892869395372705,-0.023720349563046198,-0.02372034956304619,-0.02435177075853312,-0.03347962026317541,-0.023720349563046212,-0.02372034956304619,-0.02372034956304621,-0.050288071839548726,-0.02372034956304616,-0.06157296359032865,-0.06188859416793965,-0.023720349563046198,-0.023720349563046195,-0.04922444982669958,-0.08515915332523802,-0.042095502807428985,-0.024351770758533186,-0.06283126604415847,-0.04288389459379632,-0.03395071807104125,-0.023720349563046195,-0.023720349563046198,-0.05028807183954872,-0.02307329458186213,-0.03441654965030662,0.2603149544000641,-0.033950718071041386,-0.023073294581862108,-0.03395071807104132,-0.02435177075853317,-0.02372034956304616,-0.02372034956304616,-0.03395071807104126,-0.02435177075853316,-0.023720349563046188,-0.02307329458186213,-0.04288389459379637,-0.02435177075853312,-0.023720349563046184,-0.023720349563046184,-0.023073294581862042,-0.024351770758533148,-0.024351770758533148,-0.023720349563046205,-0.034416549650306556,-0.024351770758533186,-0.033950718071041386,-0.024351770758533186,-0.024351770758533186,-0.023073294581862042,-0.0230732945818621,-0.023720349563046212,-0.024351770758533186,-0.023720349563046212,-0.06715627197904488,-0.02435177075853316,-0.023720349563046212,-0.02307329458186206,-0.023073294581862126,-0.03395071807104133,-0.024351770758533176,-0.03347962026317547,-0.023073294581862115,-0.06157296359032874,-0.04249100992852835,-0.03395071807104125,-0.02372034956304619,-0.023073294581862056,-0.024351770758533165,-0.02372034956304618,-0.024351770758533186,0.9461199816019451,-0.023073294581862115,-0.023720349563046177,-0.0237203495630462,0.1763851699459595,-0.023073294581862108,-0.023073294581862136,-0.023073294581862115,-0.023720349563046184,-0.04922444982669966,-0.023720349563046205,-0.023720349563046163,-0.06867551829950089,-0.07346730436563652
blackheads,-0.07718373468530972,-0.03392593008328751,-0.03256634725251166,-0.023073294581862077,-0.02307329458186204,-0.023073294581862098,-0.03302459423023291,-0.023073294581862042,1.0,-0.023073294581862084,-0.023073294581862105,-0.023687491569557476,-0.023073294581862077,-0.040947201653409426,-0.04753369374494635,-0.023687491569557455,-0.023073294581862094,-0.032102753749645024,-0.06081234258856151,-0.06591686138590891,-0.023073294581862084,-0.023687491569557465,-0.023687491569557465,-0.03302459423023286,-0.02307329458186208,-0.0325663472525117,-0.05390694060029426,-0.023073294581862098,-0.05423028262129913,-0.022443890274314274,-0.03347771863404296,-0.053906940600294266,-0.022443890274314267,-0.023073294581862063,-0.04055985582966925,-0.02307329458186209,-0.023687491569557455,-0.04822808571617602,-0.022443890274314284,-0.03302459423023296,-0.03347771863404288,-0.12046540162475207,-0.023073294581862063,-0.021797955239696395,-0.0819908315179433,-0.0926903773742977,-0.023073294581862077,-0.023073294581862063,-0.023687491569557424,-0.03256634725251161,-0.02307329458186209,-0.023073294581862063,-0.02307329458186206,-0.048916289889563404,-0.023073294581862077,-0.05989334699397526,-0.060200367650518075,-0.02307329458186208,-0.02307329458186204,-0.047881681864037115,-0.08283614142332436,-0.040947201653409454,-0.023687491569557465,-0.061117324874787333,-0.041714087313522545,-0.03302459423023292,-0.023073294581862067,-0.023073294581862056,-0.04891628988956347,-0.02244389027431429,-0.03347771863404287,-0.08255443877537218,-0.03302459423023299,-0.022443890274314267,-0.033024594230233004,-0.02368749156955742,-0.023073294581862077,-0.023073294581862074,-0.033024594230232934,-0.023687491569557427,-0.02307329458186206,-0.022443890274314288,-0.04171408731352256,-0.023687491569557424,-0.023073294581862098,-0.023073294581862087,0.8863951233028529,-0.023687491569557427,-0.023687491569557427,-0.023073294581862108,-0.03347771863404304,-0.023687491569557465,-0.033024594230233004,-0.023687491569557465,-0.023687491569557458,0.8863951233028529,-0.022443890274314284,-0.02307329458186209,-0.023687491569557465,-0.023073294581862087,0.3208594724604525,-0.023687491569557427,-0.02307329458186209,-0.022443890274314263,-0.02244389027431428,-0.03302459423023299,-0.023687491569557465,-0.0325663472525116,-0.02244389027431427,-0.05989334699397543,-0.041331919943082565,-0.033024594230232934,-0.023073294581862074,-0.02244389027431424,-0.023687491569557455,-0.02307329458186209,-0.023687491569557465,-0.023073294581862042,-0.02244389027431428,-0.02307329458186207,-0.023073294581862046,-0.11954338439874236,-0.02244389027431428,-0.02244389027431426,-0.022443890274314253,-0.023073294581862084,-0.047881681864037136,-0.023073294581862108,-0.023073294581862042,-0.06680215483649699,-0.07146322828245705
bladder_discomfort,-0.07934823355292216,-0.03487733049876831,-0.03347962026317539,-0.023720349563046177,-0.02372034956304622,-0.02372034956304621,-0.03395071807104135,-0.023720349563046184,-0.023073294581862084,1.0,-0.02372034956304621,-0.024351770758533235,-0.023720349563046205,-0.04209550280742911,-0.04886670291720059,-0.0243517707585332,-0.023720349563046236,0.6396025037882273,-0.06251773099981775,-0.06776539815868952,-0.023720349563046216,-0.024351770758533217,-0.0243517707585332,-0.03395071807104125,0.9461199816019445,-0.03347962026317543,-0.05541867765683228,-0.023720349563046226,-0.05575108730641412,-0.02307329458186216,-0.03441654965030662,-0.055418677656832234,-0.02307329458186215,-0.02372034956304619,-0.04169729446712038,-0.023720349563046205,-0.0243517707585332,-0.04958056804092207,-0.023073294581862164,-0.03395071807104131,-0.03441654965030666,-0.12384366812696755,-0.02372034956304619,0.8878362601800929,-0.08429013800652868,-0.09528973613405738,-0.023720349563046205,-0.02372034956304619,-0.024351770758533127,-0.03347962026317536,-0.02372034956304622,-0.02372034956304622,-0.02372034956304623,-0.05028807183954867,-0.023720349563046205,-0.061572963590328565,-0.061888594167939674,-0.023720349563046212,-0.02372034956304622,-0.04922444982669967,-0.08515915332523817,-0.04209550280742906,-0.0243517707585332,-0.0628312660441584,-0.04288389459379638,-0.0339507180710413,-0.023720349563046205,-0.023720349563046236,-0.050288071839548566,-0.023073294581862167,-0.03441654965030652,-0.08486955076074346,-0.033950718071041365,-0.023073294581862153,-0.03395071807104136,-0.024351770758533207,-0.023720349563046205,-0.023720349563046205,-0.0339507180710413,-0.02435177075853321,-0.023720349563046216,-0.023073294581862167,-0.04288389459379637,-0.024351770758533127,-0.023720349563046236,-0.023720349563046216,-0.023073294581862087,-0.024351770758533182,-0.024351770758533182,-0.023720349563046216,-0.034416549650306716,-0.0243517707585332,-0.03395071807104136,-0.0243517707585332,-0.024351770758533217,-0.02307329458186209,-0.023073294581862133,-0.023720349563046212,-0.0243517707585332,-0.023720349563046222,-0.0671562719790449,-0.02435177075853321,-0.02372034956304622,-0.023073294581862067,-0.02307329458186216,-0.03395071807104134,-0.024351770758533217,-0.03347962026317538,-0.02307329458186216,-0.06157296359032876,-0.04249100992852845,-0.0339507180710413,-0.02372034956304619,-0.02307329458186213,-0.0243517707585332,-0.023720349563046233,-0.0243517707585332,-0.023720349563046184,-0.023073294581862167,-0.023720349563046212,-0.023720349563046226,-0.12289579434905895,-0.023073294581862136,-0.023073294581862157,-0.02307329458186214,-0.023720349563046216,-0.049224449826699664,-0.023720349563046216,-0.023720349563046174,-0.06867551829950089,-0.07346730436563664
