,Disease,abdominal_pain,abnormal_menstruation,acidity,acute_liver_failure,altered_sensorium,anxiety,back_pain,belly_pain,blackheads,bladder_discomfort,blister,blood_in_sputum,bloody_stool,blurred_and_distorted_vision,breathlessness,brittle_nails,bruising,burning_micturition,chest_pain,chills,cold_hands_and_feets,coma,congestion,constipation,continuous_feel_of_urine,continuous_sneezing,cough,cramps,dark_urine,dehydration,depression,diarrhoea,dischromic_patches,distention_of_abdomen,dizziness,drying_and_tingling_lips,enlarged_thyroid,excessive_hunger,extra_marital_contacts,family_history,fast_heart_rate,fatigue,fluid_overload,foul_smell_ofurine,headache,high_fever,hip_joint_pain,history_of_alcohol_consumption,increased_appetite,indigestion,inflammatory_nails,internal_itching,irregular_sugar_level,irritability,irritation_in_anus,itching,joint_pain,knee_pain,lack_of_concentration,lethargy,loss_of_appetite,loss_of_balance,loss_of_smell,malaise,mild_fever,mood_swings,movement_stiffness,mucoid_sputum,muscle_pain,muscle_wasting,muscle_weakness,nausea,neck_pain,nodal_skin_eruptions,obesity,pain_behind_the_eyes,pain_during_bowel_movements,pain_in_anal_region,painful_walking,palpitations,passage_of_gases,patches_in_throat,phlegm,polyuria,prominent_veins_on_calf,puffy_face_and_eyes,pus_filled_pimples,receiving_blood_transfusion,receiving_unsterile_injections,red_sore_around_nose,red_spots_over_body,redness_of_eyes,restlessness,runny_nose,rusty_sputum,scurring,shivering,silver_like_dusting,sinus_pressure,skin_peeling,skin_rash,slurred_speech,small_dents_in_nails,spinning_movements,spotting_urination,stiff_neck,stomach_bleeding,stomach_pain,sunken_eyes,sweating,swelled_lymph_nodes,swelling_joints,swelling_of_stomach,swollen_blood_vessels,swollen_extremeties,swollen_legs,throat_irritation,toxic_look_(typhos),ulcers_on_tongue,unsteadiness,visual_disturbances,vomiting,watering_from_eyes,weakness_in_limbs,weakness_of_one_body_side,weight_gain,weight_loss,yellow_crust_ooze,yellow_urine,yellowing_of_eyes,yellowish_skin
Disease,1.0,0.9889956472542302,1.0,0.9850236567166579,0.9897970326476128,0.9897970326476128,0.9897970326476128,0.9900501976688564,0.9897970326476128,0.9800515649083719,0.9897970326476128,0.9897970326476128,1.0,0.9897970326476128,0.9893672204685395,0.986817311275792,1.0,0.9897970326476128,0.9795413269244375,0.9920796991608418,0.9885006102137156,0.9897970326476128,1.0,1.0,0.9895879915163966,0.9897970326476128,0.985023656716658,0.9869892430992134,0.9897970326476128,0.9888862427727001,0.9800515649083718,0.9938895199642998,0.9869892430992134,0.9800515649083718,0.9897970326476128,0.9863260018375553,0.9897970326476128,1.0,0.9914895507564928,0.9800515649083719,0.9895879915163966,0.9938895199642998,0.9833435760820706,0.9897970326476128,0.9676910063224664,0.98640618840131,0.9858628758753504,0.9897970326476128,0.9897970326476128,1.0,0.9850236567166579,0.9897970326476128,0.9897970326476128,0.9897970326476128,0.9958253950161625,0.9897970326476128,0.9869998328452046,0.9886235859679982,0.9897970326476128,0.9897970326476128,0.9891336888853577,0.989827329213648,0.9893672204685395,1.0,0.9934475638781143,0.9951721755313659,0.9895879915163966,0.9897970326476128,0.9897970326476128,0.9958253950161624,0.9800515649083719,0.9938895199642998,0.9885743988148159,0.9895879915163968,0.9800515649083718,0.9895879915163966,1.0,0.9897970326476128,0.9897970326476128,0.9895879915163966,1.0,0.9897970326476128,0.9800515649083719,0.9951721755313659,1.0,0.9897970326476128,0.9897970326476128,0.9800515649083719,1.0,1.0,0.9897970326476128,0.9938895199642995,1.0,0.9895879915163968,1.0,1.0,0.9800515649083719,0.9800515649083719,0.9897970326476128,1.0,0.9897970326476128,0.9854003285979285,1.0,0.9897970326476128,0.9800515649083719,0.9800515649083718,0.9895879915163966,1.0,0.9850236567166579,0.9800515649083718,0.9869998328452046,0.9923798410613389,0.9895879915163966,0.9897970326476128,0.9800515649083716,1.0,0.9897970326476128,1.0,0.9897970326476128,0.9800515649083718,0.9897970326476128,0.9897970326476128,0.9804683385911933,0.9800515649083719,0.9800515649083719,0.9800515649083716,0.9897970326476128,0.9891336888853578,0.9897970326476128,0.9897970326476128,0.9927932928304578,0.9880466068127347
abdominal_pain,0.9889956472542302,1.0,0.17910511452784886,0.17174758850508842,0.4497418986025885,0.11968423512201327,0.11968423512201327,0.17422974971710764,0.42155809544829065,0.11617815524819262,0.11968423512201327,0.11968423512201327,0.12310245316678428,0.11968423512201327,0.2167974080103536,0.2517212711449811,0.12310245316678428,0.11968423512201327,0.16923402337959575,0.32086785764434583,0.11003969243496327,0.11968423512201327,0.46094260565483436,0.12310245316678428,0.21968911588820192,0.11968423512201327,0.17174758850508842,0.28512248115584005,0.11968423512201327,0.8641703836697248,0.11617815524819262,0.17668184268684572,0.23597841660382732,0.11617815524819262,0.42155809544829065,0.21473044944571074,0.11968423512201327,0.12310245316678428,0.2553750381029803,0.11617815524819262,0.17422974971710764,0.17668184268684572,0.23167788352489327,0.42155809544829065,0.1125703460031329,0.23756598892273514,0.08428837010422209,0.11968423512201327,0.42155809544829065,0.12310245316678428,0.2048841986870129,0.11968423512201327,0.42155809544829065,0.11968423512201327,0.258996609081797,0.11968423512201327,0.40031403948301775,0.4087633819103987,0.11968423512201327,0.11968423512201327,0.022925834932922107,0.6906917971582213,0.2167974080103536,0.12310245316678428,0.06987917596860278,0.11672005149684603,0.17422974971710764,0.11968423512201327,0.11968423512201327,0.029964670162957046,0.11617815524819262,0.17668184268684572,0.5359839483730766,0.17422974971710764,0.11617815524819262,0.17422974971710764,0.12310245316678428,0.11968423512201327,0.11968423512201327,0.17422974971710764,0.12310245316678428,0.42155809544829065,0.11617815524819262,0.22088033813660046,0.12310245316678428,0.11968423512201327,0.11968423512201327,0.11617815524819262,0.4336309186149916,0.4336309186149916,0.11968423512201327,0.17668184268684572,0.12310245316678428,0.17422974971710764,0.12310245316678428,0.12310245316678428,0.11617815524819262,0.11617815524819262,0.11968423512201327,0.12310245316678428,0.11968423512201327,0.34395692844082787,0.12310245316678428,0.11968423512201327,0.11617815524819262,0.11617815524819262,0.17422974971710764,0.46094260565483436,0.17174758850508842,0.11617815524819262,0.31613854856876705,0.2188438887217998,0.17422974971710764,0.42155809544829065,0.11617815524819262,0.12310245316678428,0.11968423512201327,0.12310245316678428,0.42155809544829065,0.11617815524819262,0.11968423512201327,0.11968423512201327,0.683508269500244,0.11617815524819262,0.11617815524819262,0.11617815524819262,0.11968423512201327,0.022925834932922107,0.11968423512201327,0.42155809544829065,0.7358717240814061,0.9129955138462685
abnormal_menstruation,1.0,0.17910511452784886,1.0,0.0702230565744212,0.04453721465243068,0.04453721465243068,0.04453721465243068,0.07140853052225171,0.04453721465243068,0.04271070209632445,0.04453721465243068,0.04453721465243068,0.04629948091566318,0.04453721465243068,0.09149481934622715,0.10779743911745655,0.8874697354461798,0.04453721465243068,0.06902032474472386,0.14004619183140446,0.15229257387023826,0.8739437208152295,0.04629948091566318,0.04629948091566318,0.07140853052225171,0.04453721465243068,0.0702230565744212,0.12335900306045897,0.04453721465243068,0.12414387397366129,0.04271070209632445,0.6834158051610283,0.3889217775027278,0.04271070209632445,0.04453721465243068,0.5398132595043658,0.04453721465243068,0.8874697354461798,0.4454798864259993,0.04271070209632445,0.07140853052225171,0.6523073397428882,0.3761310348596844,0.04453721465243068,0.040809079235302116,0.19046481896226253,0.2155957958961292,0.04453721465243068,0.04453721465243068,0.04629948091566318,0.0702230565744212,0.04453721465243068,0.04453721465243068,0.04453721465243068,0.8851401003995748,0.04453721465243068,0.13783388183885026,0.1385732466023877,0.04453721465243068,0.04453721465243068,0.4492489941977814,0.19245778996354693,0.09149481934622715,0.04629948091566318,0.14077984832182117,0.09340776378395478,0.9989744950758933,0.04453721465243068,0.04453721465243068,0.11118827124906697,0.04271070209632445,0.6834158051610283,0.19179377490405863,0.07140853052225171,0.04271070209632445,0.07140853052225171,0.04629948091566318,0.04453721465243068,0.04453721465243068,0.07140853052225171,0.04629948091566318,0.04453721465243068,0.04271070209632445,0.09340776378395478,0.04629948091566318,0.04453721465243068,0.8739437208152295,0.04271070209632445,0.04629948091566318,0.04629948091566318,0.04453721465243068,0.07257759308292452,0.04629948091566318,0.6605320676900235,0.04629948091566318,0.04629948091566318,0.04271070209632445,0.04271070209632445,0.04453721465243068,0.04629948091566318,0.04453721465243068,0.1508745210757131,0.04629948091566318,0.04453721465243068,0.04271070209632445,0.04271070209632445,0.07140853052225171,0.04629948091566318,0.0702230565744212,0.04271070209632445,0.3383239039891619,0.09245503292869361,0.07140853052225171,0.04453721465243068,0.04271070209632445,0.8874697354461798,0.04453721465243068,0.04629948091566318,0.04453721465243068,0.04271070209632445,0.04453721465243068,0.04453721465243068,0.2777617082313366,0.04271070209632445,0.04271070209632445,0.04271070209632445,0.8739437208152295,0.4492489941977814,0.04453721465243068,0.04453721465243068,0.15440974001275573,0.16552636684135677
acidity,0.9850236567166579,0.17174758850508842,0.0702230565744212,1.0,0.041856783811002114,0.041856783811002114,0.041856783811002114,0.0679761931727546,0.041856783811002114,0.04006716248948489,0.041856783811002114,0.041856783811002114,0.04357864628804784,0.041856783811002114,0.5281502527884246,0.10310039527303139,0.04357864628804784,0.041856783811002114,0.06566462116780346,0.30371321288476605,0.1459448821428085,0.041856783811002114,0.04357864628804784,0.04357864628804784,0.0679761931727546,0.041856783811002114,0.06682891074784043,0.35838085069926484,0.041856783811002114,0.1188433408034148,0.04006716248948489,0.6444364686185263,0.11808760097947661,0.04006716248948489,0.041856783811002114,0.08644655629852906,0.041856783811002114,0.04357864628804784,0.4407448136605524,0.04006716248948489,0.0679761931727546,0.06910731467570515,0.2687577790318116,0.041856783811002114,0.038200544264393725,0.2031113514482954,0.20686297557938557,0.041856783811002114,0.041856783811002114,0.04357864628804784,0.6609450203683561,0.041856783811002114,0.041856783811002114,0.041856783811002114,0.43350718372372515,0.041856783811002114,0.1320282527961308,0.13273997086042394,0.041856783811002114,0.041856783811002114,0.103923683753035,0.18459698148836876,0.08738061269449972,0.04357864628804784,0.13486401010013035,0.08922630044746019,0.0679761931727546,0.041856783811002114,0.041856783811002114,0.10636779513571874,0.04006716248948489,0.06910731467570515,0.1839579826691655,0.0679761931727546,0.04006716248948489,0.0679761931727546,0.04357864628804784,0.041856783811002114,0.041856783811002114,0.0679761931727546,0.04357864628804784,0.041856783811002114,0.04006716248948489,0.08922630044746019,0.04357864628804784,0.041856783811002114,0.041856783811002114,0.04006716248948489,0.04357864628804784,0.04357864628804784,0.041856783811002114,0.06910731467570515,0.04357864628804784,0.0679761931727546,0.04357864628804784,0.04357864628804784,0.04006716248948489,0.04006716248948489,0.041856783811002114,0.04357864628804784,0.041856783811002114,0.14458010734465784,0.04357864628804784,0.041856783811002114,0.04006716248948489,0.04006716248948489,0.6525748483340618,0.04357864628804784,0.626917231777353,0.04006716248948489,0.1320282527961308,0.08830711234870925,0.0679761931727546,0.041856783811002114,0.04006716248948489,0.04357864628804784,0.041856783811002114,0.04357864628804784,0.041856783811002114,0.8140961372310592,0.041856783811002114,0.8655886717344723,0.01815100454047999,0.04006716248948489,0.04006716248948489,0.04006716248948489,0.041856783811002114,0.103923683753035,0.041856783811002114,0.041856783811002114,0.14798246676390311,0.15868066168735318
acute_liver_failure,0.9897970326476128,0.4497418986025885,0.04453721465243068,0.041856783811002114,1.0,0.020273321367930815,0.020273321367930815,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.05773635021858804,0.0695143691270911,0.021972707229468962,0.020273321367930815,0.040929900359136934,0.0923628864790455,0.10095558574984008,0.020273321367930815,0.9988652110854161,0.021972707229468962,0.042766270761279264,0.020273321367930815,0.041856783811002114,0.0805930325777521,0.020273321367930815,0.5850072315824152,0.01843096108752184,0.04365942648104025,0.0805930325777521,0.01843096108752184,0.020273321367930815,0.05702920035626416,0.020273321367930815,0.021972707229468962,0.07073392564411124,0.01843096108752184,0.042766270761279264,0.04365942648104025,0.26839087350805857,0.020273321367930815,0.01639454413913099,0.1276040489972426,0.35183459795204075,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.041856783811002114,0.020273321367930815,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.020273321367930815,0.09080689487397216,0.5327033732248955,0.020273321367930815,0.020273321367930815,0.07012597992938882,0.4209523670231632,0.05773635021858804,0.021972707229468962,0.09287861013433571,0.05913085830220276,0.042766270761279264,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.01843096108752184,0.04365942648104025,0.39476931206027344,0.042766270761279264,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.05913085830220276,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.021972707229468962,0.020273321367930815,0.04365942648104025,0.021972707229468962,0.042766270761279264,0.021972707229468962,0.021972707229468962,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.0999621685795484,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.01843096108752184,0.042766270761279264,0.9988652110854161,0.041856783811002114,0.01843096108752184,0.09080689487397216,0.05843682312578852,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.27058758141215905,0.01843096108752184,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.07012597992938882,0.020273321367930815,0.020273321367930815,0.5135249698022855,0.453938337578878
altered_sensorium,0.9897970326476128,0.11968423512201327,0.04453721465243068,0.041856783811002114,0.020273321367930815,1.0,0.020273321367930815,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.05773635021858804,0.0695143691270911,0.021972707229468962,0.020273321367930815,0.040929900359136934,0.0923628864790455,0.10095558574984008,0.020273321367930815,0.021972707229468962,0.021972707229468962,0.042766270761279264,0.020273321367930815,0.041856783811002114,0.0805930325777521,0.020273321367930815,0.0811491559776263,0.01843096108752184,0.04365942648104025,0.0805930325777521,0.01843096108752184,0.020273321367930815,0.05702920035626416,0.020273321367930815,0.021972707229468962,0.07073392564411124,0.01843096108752184,0.042766270761279264,0.04365942648104025,0.18991241259547512,0.020273321367930815,0.01639454413913099,0.3694656233066609,0.14509896723355817,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.041856783811002114,0.020273321367930815,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.020273321367930815,0.09080689487397216,0.09132705995173593,0.020273321367930815,0.020273321367930815,0.07012597992938882,0.12899206179327355,0.05773635021858804,0.021972707229468962,0.09287861013433571,0.05913085830220276,0.042766270761279264,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.01843096108752184,0.04365942648104025,0.12852962147975583,0.042766270761279264,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.05913085830220276,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.021972707229468962,0.020273321367930815,0.04365942648104025,0.021972707229468962,0.042766270761279264,0.021972707229468962,0.021972707229468962,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.0999621685795484,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.041856783811002114,0.01843096108752184,0.09080689487397216,0.05843682312578852,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.24525988236954183,0.01843096108752184,0.01843096108752184,0.9906275293459914,0.020273321367930815,0.07012597992938882,0.020273321367930815,0.020273321367930815,0.1024381101201637,0.11021126212165049
anxiety,0.9897970326476128,0.11968423512201327,0.04453721465243068,0.041856783811002114,0.020273321367930815,0.020273321367930815,1.0,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.7383857006500112,0.0695143691270911,0.021972707229468962,0.020273321367930815,0.040929900359136934,0.0923628864790455,0.10095558574984008,0.020273321367930815,0.021972707229468962,0.021972707229468962,0.042766270761279264,0.020273321367930815,0.041856783811002114,0.0805930325777521,0.020273321367930815,0.0811491559776263,0.01843096108752184,0.04365942648104025,0.0805930325777521,0.01843096108752184,0.020273321367930815,0.05702920035626416,0.9957978968938486,0.021972707229468962,0.6798845947810438,0.01843096108752184,0.042766270761279264,0.04365942648104025,0.26839087350805857,0.020273321367930815,0.01639454413913099,0.39743428662718333,0.14509896723355817,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.041856783811002114,0.020273321367930815,0.020273321367930815,0.020273321367930815,0.6721198109080379,0.020273321367930815,0.09080689487397216,0.09132705995173593,0.020273321367930815,0.020273321367930815,0.07012597992938882,0.12899206179327355,0.05773635021858804,0.021972707229468962,0.09287861013433571,0.05913085830220276,0.042766270761279264,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.01843096108752184,0.04365942648104025,0.39476931206027344,0.042766270761279264,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.042766270761279264,0.9988652110854161,0.020273321367930815,0.01843096108752184,0.05913085830220276,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.021972707229468962,0.020273321367930815,0.04365942648104025,0.021972707229468962,0.042766270761279264,0.021972707229468962,0.021972707229468962,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.0999621685795484,0.9988652110854161,0.020273321367930815,0.01843096108752184,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.041856783811002114,0.01843096108752184,0.5351896558777632,0.05843682312578852,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.27058758141215905,0.01843096108752184,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.07012597992938882,0.020273321367930815,0.020273321367930815,0.1024381101201637,0.11021126212165049
back_pain,0.9900501976688564,0.17422974971710764,0.07140853052225171,0.0679761931727546,0.042766270761279264,0.042766270761279264,0.042766270761279264,1.0,0.042766270761279264,0.0409646319959418,0.042766270761279264,0.042766270761279264,0.04450065869663019,0.042766270761279264,0.08876986597096263,0.10468577169024884,0.04450065869663019,0.042766270761279264,0.06679901186632717,0.13614453074428026,0.3093287579082717,0.042766270761279264,0.04450065869663019,0.04450065869663019,0.06913628683304063,0.042766270761279264,0.0679761931727546,0.1198696588454756,0.042766270761279264,0.1206352183029356,0.0409646319959418,0.0702801388177275,0.1198696588454756,0.0409646319959418,0.042766270761279264,0.4942073678975673,0.042766270761279264,0.04450065869663019,0.10634884505866671,0.0409646319959418,0.06913628683304063,0.0702801388177275,0.07104290932162323,0.042766270761279264,0.039086719498130675,0.23810111567297082,0.16874785859340233,0.042766270761279264,0.042766270761279264,0.04450065869663019,0.0679761931727546,0.042766270761279264,0.042766270761279264,0.042766270761279264,0.10799473141449531,0.042766270761279264,0.13398707537685042,0.3508019605271631,0.042766270761279264,0.042766270761279264,0.10551951134996806,0.23389013033833667,0.48907926992682654,0.04450065869663019,0.34374979919801507,0.09063817053786667,0.06913628683304063,0.042766270761279264,0.042766270761279264,0.4534676636547292,0.0409646319959418,0.0702801388177275,0.23528651249989746,0.6104403107509988,0.0409646319959418,0.06913628683304063,0.9008185357427941,0.042766270761279264,0.042766270761279264,0.06913628683304063,0.04450065869663019,0.042766270761279264,0.0409646319959418,0.09063817053786667,0.04450065869663019,0.042766270761279264,0.042766270761279264,0.0409646319959418,0.04450065869663019,0.04450065869663019,0.042766270761279264,0.6685405522528517,0.04450065869663019,0.06913628683304063,0.04450065869663019,0.04450065869663019,0.0409646319959418,0.0409646319959418,0.042766270761279264,0.04450065869663019,0.042766270761279264,0.31336958145313604,0.04450065869663019,0.042766270761279264,0.0409646319959418,0.0409646319959418,0.06913628683304063,0.04450065869663019,0.0679761931727546,0.0409646319959418,0.13398707537685042,0.08970770215219094,0.06913628683304063,0.042766270761279264,0.0409646319959418,0.04450065869663019,0.042766270761279264,0.04450065869663019,0.042766270761279264,0.0409646319959418,0.042766270761279264,0.042766270761279264,0.0738862420391677,0.0409646319959418,0.8062587225873094,0.0409646319959418,0.042766270761279264,0.10551951134996806,0.042766270761279264,0.042766270761279264,0.15015087304525826,0.1609901765574706
belly_pain,0.9897970326476128,0.42155809544829065,0.04453721465243068,0.041856783811002114,0.020273321367930815,0.020273321367930815,0.020273321367930815,0.042766270761279264,1.0,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.05773635021858804,0.0695143691270911,0.021972707229468962,0.020273321367930815,0.040929900359136934,0.0923628864790455,0.5197477693228238,0.020273321367930815,0.021972707229468962,0.021972707229468962,0.8581808879708398,0.020273321367930815,0.041856783811002114,0.0805930325777521,0.020273321367930815,0.0811491559776263,0.01843096108752184,0.04365942648104025,0.5880949933634424,0.01843096108752184,0.020273321367930815,0.05702920035626416,0.020273321367930815,0.021972707229468962,0.07073392564411124,0.01843096108752184,0.042766270761279264,0.04365942648104025,0.2934941291700858,0.020273321367930815,0.01639454413913099,0.39743428662718333,0.3783753022134538,0.020273321367930815,0.020273321367930815,0.021972707229468962,0.041856783811002114,0.020273321367930815,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.020273321367930815,0.09080689487397216,0.09132705995173593,0.020273321367930815,0.020273321367930815,0.07012597992938882,0.12899206179327355,0.05773635021858804,0.021972707229468962,0.09287861013433571,0.05913085830220276,0.042766270761279264,0.020273321367930815,0.020273321367930815,0.07193921324629916,0.01843096108752184,0.04365942648104025,0.39476931206027344,0.042766270761279264,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.042766270761279264,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.05913085830220276,0.021972707229468962,0.020273321367930815,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.021972707229468962,0.020273321367930815,0.04365942648104025,0.021972707229468962,0.042766270761279264,0.021972707229468962,0.021972707229468962,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.021972707229468962,0.020273321367930815,0.0999621685795484,0.021972707229468962,0.020273321367930815,0.01843096108752184,0.01843096108752184,0.042766270761279264,0.021972707229468962,0.041856783811002114,0.01843096108752184,0.09080689487397216,0.05843682312578852,0.042766270761279264,0.020273321367930815,0.01843096108752184,0.021972707229468962,0.020273321367930815,0.021972707229468962,0.9957978968938486,0.01843096108752184,0.020273321367930815,0.020273321367930815,0.27058758141215905,0.01843096108752184,0.01843096108752184,0.01843096108752184,0.020273321367930815,0.07012597992938882,0.020273321367930815,0.020273321367930815,0.1024381101201637,0.11021126212165049
blackheads,0.9800515649083719,0.11617815524819262,0.04271070209632445,0.04006716248948489,0.01843096108752184,0.01843096108752184,0.01843096108752184,0.0409646319959418,0.01843096108752184,1.0,0.01843096108752184,0.01843096108752184,0.020181740943977452,0.01843096108752184,0.0556802570387459,0.06721261899427287,0.020181740943977452,0.01843096108752184,0.039151949378124745,0.08953149605870384,0.09791515680467114,0.01843096108752184,0.020181740943977452,0.020181740943977452,0.0409646319959418,0.01843096108752184,0.04006716248948489,0.07803938009296513,0.01843096108752184,0.07858269239919148,0.016505911942223492,0.04184547587969911,0.07803938009296513,0.016505911942223492,0.01843096108752184,0.05498691257201056,0.01843096108752184,0.020181740943977452,0.0684053605574782,0.016505911942223492,0.0409646319959418,0.04184547587969911,0.1846049167705715,0.01843096108752184,0.014344095898545975,0.12389707217394152,0.14094503780803952,0.01843096108752184,0.01843096108752184,0.020181740943977452,0.04006716248948489,0.01843096108752184,0.01843096108752184,0.01843096108752184,0.06958394199364298,0.01843096108752184,0.08801287163498812,0.0885205638523761,0.01843096108752184,0.01843096108752184,0.06781080877041987,0.12524976194115897,0.0556802570387459,0.020181740943977452,0.09003479791946878,0.05704717580528173,0.0409646319959418,0.01843096108752184,0.01843096108752184,0.06958394199364298,0.016505911942223492,0.04184547587969911,0.12479909304550997,0.0409646319959418,0.016505911942223492,0.0409646319959418,0.020181740943977452,0.01843096108752184,0.01843096108752184,0.0409646319959418,0.020181740943977452,0.01843096108752184,0.016505911942223492,0.05704717580528173,0.020181740943977452,0.01843096108752184,0.01843096108752184,0.9827656003624532,0.020181740943977452,0.020181740943977452,0.01843096108752184,0.04184547587969911,0.020181740943977452,0.0409646319959418,0.020181740943977452,0.020181740943977452,0.9827656003624532,0.016505911942223492,0.01843096108752184,0.020181740943977452,0.01843096108752184,0.4799365917289732,0.020181740943977452,0.01843096108752184,0.016505911942223492,0.016505911942223492,0.0409646319959418,0.020181740943977452,0.04006716248948489,0.016505911942223492,0.08801287163498812,0.05636693079802458,0.0409646319959418,0.01843096108752184,0.016505911942223492,0.020181740943977452,0.01843096108752184,0.020181740943977452,0.01843096108752184,0.016505911942223492,0.01843096108752184,0.01843096108752184,0.1831670513560678,0.016505911942223492,0.016505911942223492,0.016505911942223492,0.01843096108752184,0.06781080877041987,0.01843096108752184,0.01843096108752184,0.09936122184495758,0.10694169105613657
